Prediction,Ground Truth
"[4.399996757507324, 5.627617835998535]","[5.0, 5.058000087738037]"
"[4.502829551696777, 5.558370590209961]","[5.0, 5.058000087738037]"
"[4.341401100158691, 5.734383583068848]","[5.0, 5.058000087738037]"
"[3.2442171573638916, 6.3879499435424805]","[5.0, 5.058000087738037]"
"[4.65439510345459, 5.3682403564453125]","[5.0, 5.058000087738037]"
"[4.7077765464782715, 5.231654167175293]","[5.0, 5.058000087738037]"
"[4.640216827392578, 5.282563209533691]","[5.0, 5.058000087738037]"
"[4.474368572235107, 5.489713668823242]","[5.0, 5.058000087738037]"
"[4.435471534729004, 5.5749006271362305]","[5.0, 5.058000087738037]"
"[4.870441436767578, 4.985357284545898]","[5.0, 5.058000087738037]"
"[4.782413482666016, 5.129960060119629]","[5.0, 5.058000087738037]"
"[4.754519462585449, 5.183074951171875]","[5.0, 5.058000087738037]"
"[4.679664611816406, 5.312468528747559]","[5.0, 5.058000087738037]"
"[4.565911293029785, 5.430394172668457]","[5.0, 5.058000087738037]"
"[4.504227638244629, 5.55947208404541]","[5.0, 5.058000087738037]"
"[4.409501075744629, 5.651889801025391]","[5.0, 5.058000087738037]"
"[3.111571788787842, 6.609005928039551]","[5.0, 5.058000087738037]"
"[4.262004852294922, 5.840140342712402]","[5.0, 5.058000087738037]"
"[4.299162864685059, 5.83796501159668]","[5.0, 5.058000087738037]"
"[4.374717712402344, 5.709611892700195]","[5.0, 5.058000087738037]"
"[4.166852951049805, 5.89312744140625]","[5.0, 5.058000087738037]"
"[4.042584419250488, 5.873142242431641]","[5.0, 5.058000087738037]"
"[4.091864585876465, 5.9236907958984375]","[5.0, 5.058000087738037]"
"[4.051125526428223, 5.958864212036133]","[5.0, 5.058000087738037]"
"[3.9653820991516113, 5.885404586791992]","[5.0, 5.058000087738037]"
"[3.891242504119873, 5.995302200317383]","[5.0, 5.058000087738037]"
"[3.802013635635376, 6.095428466796875]","[5.0, 5.058000087738037]"
"[3.8503024578094482, 6.000144004821777]","[5.0, 5.058000087738037]"
"[2.1520745754241943, 7.154955863952637]","[5.0, 5.058000087738037]"
"[3.5663537979125977, 6.26677131652832]","[5.0, 5.058000087738037]"
"[3.5937082767486572, 6.1334686279296875]","[5.0, 5.058000087738037]"
"[3.2319912910461426, 6.549676895141602]","[5.0, 5.058000087738037]"
"[3.0433895587921143, 6.920610427856445]","[5.0, 5.058000087738037]"
"[3.0557873249053955, 6.933562278747559]","[5.0, 5.054999828338623]"
"[3.138674259185791, 6.865516662597656]","[5.0, 5.0329999923706055]"
"[3.1332266330718994, 6.807346343994141]","[5.0, 5.0]"
"[3.116349697113037, 6.8263139724731445]","[5.0, 5.0]"
"[3.0614521503448486, 6.877190589904785]","[5.0, 5.0]"
"[3.1229124069213867, 6.898961067199707]","[5.0, 5.0]"
"[3.2253904342651367, 6.570505142211914]","[5.0, 5.0]"
"[1.9881134033203125, 6.957275390625]","[5.0, 5.0]"
"[3.7135236263275146, 6.099271774291992]","[5.0, 5.0]"
"[3.8471076488494873, 6.0380659103393555]","[5.0, 5.0]"
"[3.949643850326538, 5.986878395080566]","[5.0, 5.0]"
"[4.022304534912109, 5.952157020568848]","[5.0, 5.0]"
"[3.9562320709228516, 6.016714096069336]","[5.0, 5.0]"
"[4.28505802154541, 5.781376838684082]","[5.0, 5.0]"
"[4.382021903991699, 5.841300964355469]","[5.0, 5.0]"
"[4.331079483032227, 5.834314346313477]","[5.0, 5.0]"
"[4.2380170822143555, 5.855657577514648]","[5.0, 5.0]"
"[4.277875900268555, 5.797767639160156]","[5.0, 5.0]"
"[4.668168067932129, 5.530789375305176]","[5.0, 5.000999927520752]"
"[2.895489454269409, 6.4967851638793945]","[5.0, 5.000999927520752]"
"[4.649035453796387, 5.492884635925293]","[5.0, 5.000999927520752]"
"[4.686270713806152, 5.458183288574219]","[5.0, 5.000999927520752]"
"[4.521899223327637, 5.268355369567871]","[5.0, 5.000999927520752]"
"[4.626116752624512, 5.209714889526367]","[5.0, 5.000999927520752]"
"[4.600754737854004, 5.308525085449219]","[5.0, 5.000999927520752]"
"[4.7714033126831055, 5.076820373535156]","[5.0, 5.000999927520752]"
"[4.86346435546875, 4.974860191345215]","[5.0, 5.000999927520752]"
"[4.813178062438965, 4.9715576171875]","[5.0, 5.000999927520752]"
